Attribute,Target,Rulex,LIME,SHAP
ritm_ecg_p_01_1.0,REC_IM,0.0,0.0045833024,0.0086231733
NOT_NA_3_n,A_V_BLOK,0.0,0.0092929218,0.0052655347
NA_R_2_n,PREDS_TAH,0.0,0.0010270556,0.0
NA_R_3_n,PREDS_TAH,0.0,0.0015475499,0.0
NOT_NA_3_n,PREDS_TAH,0.0,0.001740049,0.0
NOT_NA_2_n,FIBR_PREDS,0.000015507,0.0119183276,0.0
NOT_NA_3_n,FIBR_PREDS,0.0116901529,0.0101142777,0.0
NOT_NA_2_n,A_V_BLOK,0.0,0.0075925946,0.0
NA_R_2_n,JELUD_TAH,0.0011017858,0.0017663727,0.0
NOT_NA_2_n,JELUD_TAH,0.001687375,0.0018559147,0.0
NOT_NA_3_n,JELUD_TAH,0.0,0.0013514399,0.0
ALT_BLOOD,RAZRIV,0.0,0.0001385053,0.0
AST_BLOOD,RAZRIV,0.0085309275,0.0001258658,0.0
K_BLOOD,RAZRIV,0.0,0.0001394469,0.0
L_BLOOD,RAZRIV,0.0001917364,0.0001440816,0.0
NA_BLOOD,RAZRIV,0.0001224213,0.0001426122,0.0
NA_R_1_n,RAZRIV,0.0,0.0000984203,0.0
NA_R_2_n,RAZRIV,0.0,0.0001416951,0.0
NA_R_3_n,RAZRIV,0.0022609688,0.0001821308,0.0
NOT_NA_2_n,RAZRIV,0.0298182098,0.0001360144,0.0
NOT_NA_3_n,RAZRIV,0.0535107638,0.0001874613,0.0
ROE,RAZRIV,0.0094713144,0.0001204996,0.0
NOT_NA_3_n,ZSN,0.1057543767,0.0034098193,0.0
B_BLOK_S_n_1.0,DRESSLER,0.0,0.0049635984,0.0
LET_IS_cardiogenic_shock,DRESSLER,0.0,0.0166993342,0.0
NA_R_2_n,DRESSLER,0.0031571408,0.0118776206,0.0
NA_R_3_n,DRESSLER,0.0122961612,0.0089212165,0.0
NOT_NA_2_n,DRESSLER,0.0,0.0098070412,0.0
NOT_NA_3_n,DRESSLER,0.0049048144,0.0067707137,0.0
FK_STENOK_nan,DRESSLER,0.0,0.0050794432,0.0
LET_IS_asystole,DRESSLER,0.0,0.0012656766,0.0
STENOK_AN_nan,DRESSLER,0.0,0.0053192951,0.0
ZSN_A_nan,DRESSLER,0.0,0.0224519267,0.0
GIPO_K_nan,DRESSLER,0.0,0.0052286002,0.0
n_p_ecg_p_07_1.0,DRESSLER,0.0,0.0202483463,0.0
NITR_S_nan,DRESSLER,0.0,0.0083966279,0.0
TIME_B_S_3.0,DRESSLER,0.0,0.0048466534,0.0
zab_leg_01_1.0,DRESSLER,0.0,0.0086938518,0.0
fibr_ter_02_1.0,DRESSLER,0.0,0.0008306912,0.0
n_r_ecg_p_04_1.0,DRESSLER,0.0,0.0351894912,0.0
O_L_POST_1.0,DRESSLER,0.0,0.0208896284,0.0
INF_ANAM_3.0,DRESSLER,0.0,0.0008047687,0.0
STENOK_AN_1.0,DRESSLER,0.0,0.0076375487,0.0
DLIT_AG_2.0,DRESSLER,0.0,0.0340778088,0.0
inf_im_4.0,DRESSLER,0.0,0.0014565184,0.0
nr_03_1.0,DRESSLER,0.0,0.023094457,0.0
R_AB_2_n_2.0,DRESSLER,0.0,0.0059013899,0.0
STENOK_AN_4.0,DRESSLER,0.0,0.0085731289,0.0
STENOK_AN_3.0,DRESSLER,0.0,0.0002793893,0.0
NA_R_3_n,P_IM_STEN,0.0,0.0099182017,0.0
NOT_NA_2_n,P_IM_STEN,0.0,0.0094081259,0.0
NOT_NA_3_n,P_IM_STEN,0.0,0.0081429449,0.0
FK_STENOK_nan,P_IM_STEN,0.0,0.0027398119,0.0
LET_IS_asystole,P_IM_STEN,0.0,0.0344529701,0.0
STENOK_AN_nan,P_IM_STEN,0.0,0.0058504631,0.0
ZSN_A_nan,P_IM_STEN,0.0,0.0035355523,0.0
NOT_NA_KB_nan,P_IM_STEN,0.0,0.0060218794,0.0
SIM_GIPERT_1.0,P_IM_STEN,0.0,0.0190040084,0.0
n_p_ecg_p_07_1.0,P_IM_STEN,0.0,0.0031688935,0.0
NITR_S_nan,P_IM_STEN,0.0,0.0024869384,0.0
fibr_ter_02_1.0,P_IM_STEN,0.0,0.0514320899,0.0
n_r_ecg_p_04_1.0,P_IM_STEN,0.0,0.0043677116,0.0
O_L_POST_1.0,P_IM_STEN,0.0,0.0179576754,0.0
R_AB_3_n_1.0,P_IM_STEN,0.0,0.0225821883,0.0
INF_ANAM_3.0,P_IM_STEN,0.0,0.0094650901,0.0
DLIT_AG_2.0,P_IM_STEN,0.0,0.0077136987,0.0
nr_03_1.0,P_IM_STEN,0.0,0.024652327,0.0
R_AB_2_n_2.0,P_IM_STEN,0.0,0.0298502151,0.0
STENOK_AN_3.0,P_IM_STEN,0.0,0.0223572555,0.0
lat_im_2.0,P_IM_STEN,0.0,0.0128121238,0.0
B_BLOK_S_n_1.0,REC_IM,0.0,0.0009108533,0.0
