Attribute,Target,Rulex,LIME,SHAP
K_BLOOD,PREDS_TAH,0.0000321686,0.003554383,0.085189554
INF_ANAM,P_IM_STEN,0.0006580068,0.0307614036,0.0851472328
inf_im,PREDS_TAH,0.0,0.0069880866,0.0847239855
K_BLOOD,RAZRIV,0.0000140625,0.0060257513,0.0843830651
NOT_NA_3_n,OTEK_LANC,0.0011083804,0.0216789643,0.0837695187
NA_KB,FIBR_PREDS,0.0,0.0215649934,0.0832580358
SIM_GIPERT,ZSN,0.0,0.0038085489,0.083124764
R_AB_2_n,ZSN,0.0,0.0055334908,0.0829167308
lat_im,DRESSLER,0.0,0.0036869483,0.0828627075
NOT_NA_KB,FIBR_PREDS,0.0,0.0069690471,0.0827327783
NOT_NA_KB,A_V_BLOK,0.0,0.0027791728,0.0825566358
IBS_POST,RAZRIV,0.0,0.0037267129,0.0804318017
NA_R_1_n,P_IM_STEN,0.003360982,0.0170667723,0.0794798952
NA_R_2_n,ZSN,0.0093046213,0.0295762108,0.0790603643
n_p_ecg_p_07,DRESSLER,0.0,0.0227938152,0.075657375
D_AD_ORIT,DRESSLER,0.0,0.0271709599,0.0749087225
R_AB_1_n,FIBR_JELUD,0.0,0.0185115177,0.0745009501
TIME_B_S,PREDS_TAH,0.0,0.0035620705,0.0736088862
INF_ANAM,OTEK_LANC,0.0,0.0052524811,0.0707748314
IBS_POST,ZSN,0.0,0.010887161,0.0690532439
LID_KB,ZSN,0.0,0.0046209632,0.0681549968
ASP_S_n,FIBR_PREDS,0.0,0.0306590374,0.0669709265
IBS_POST,A_V_BLOK,0.0,0.0085753896,0.066731192
ASP_S_n,FIBR_JELUD,0.0,0.0147598263,0.0666852113
lat_im,P_IM_STEN,0.0002278105,0.0205865011,0.0631133232
GEPAR_S_n,REC_IM,0.0,0.0,0.0627430467
NA_R_1_n,RAZRIV,0.0,0.0092861184,0.0622908559
ritm_ecg_p_01,FIBR_PREDS,0.0,0.0053426751,0.0600466704
R_AB_2_n,REC_IM,0.0,0.0037444876,0.059348892
IBS_POST,PREDS_TAH,0.0,0.0044345136,0.0567002529
LID_S_n,JELUD_TAH,0.0,0.0032264221,0.0562769029
NA_KB,A_V_BLOK,0.0,0.0046913758,0.0552213756
ANT_CA_S_n,DRESSLER,0.0,0.0117073715,0.0550489045
INF_ANAM,REC_IM,0.0065178387,0.0153502003,0.054535667
ritm_ecg_p_02,OTEK_LANC,0.0,0.0071297004,0.0528151743
GB,P_IM_STEN,0.0,0.0184344458,0.052641995
ritm_ecg_p_01,PREDS_TAH,0.0,0.0034653115,0.0515871156
LID_KB,OTEK_LANC,0.0,0.0061808191,0.0504809711
TRENT_S_n,RAZRIV,0.0,0.004028428,0.0503337109
ritm_ecg_p_02,FIBR_PREDS,0.0,0.0202758416,0.0478796885
NOT_NA_3_n,REC_IM,0.0,0.0296269547,0.0470344353
GB,DRESSLER,0.0,0.0117600837,0.04596866
ritm_ecg_p_08,FIBR_PREDS,0.0,0.006264307,0.04562733
NOT_NA_2_n,ZSN,0.0,0.0143172229,0.0443610348
LID_KB,FIBR_PREDS,0.0,0.0212137102,0.0415595557
LID_KB,A_V_BLOK,0.0,0.0043757566,0.0411537503
NA_R_2_n,FIBR_PREDS,0.0,0.0169104225,0.0411440115
ant_im,JELUD_TAH,0.0,0.0074806956,0.039665814
n_r_ecg_p_01,FIBR_PREDS,0.0,0.0278345485,0.03912746
DLIT_AG,JELUD_TAH,0.0,0.0022913724,0.0387152489
R_AB_1_n,P_IM_STEN,0.0,0.010158298,0.0383662384
STENOK_AN,A_V_BLOK,0.0,0.0037067704,0.0380862484
zab_leg_01,OTEK_LANC,0.0,0.0074941297,0.0370518486
R_AB_3_n,OTEK_LANC,0.0,0.0088925636,0.0366635734
NA_R_3_n,JELUD_TAH,0.0,0.0122983905,0.035959892
ant_im,A_V_BLOK,0.0,0.004429083,0.0356447761
R_AB_1_n,JELUD_TAH,0.0,0.0046980734,0.0352991875
NA_R_3_n,OTEK_LANC,0.0,0.0089975021,0.034637943
R_AB_2_n,P_IM_STEN,0.0,0.0051425239,0.033516254
GB,REC_IM,0.0039791124,0.0047616162,0.03258007
FK_STENOK,ZSN,0.0,0.0134731166,0.032542266
R_AB_1_n,REC_IM,0.0,0.0060669574,0.030037725
NA_R_3_n,REC_IM,0.0,0.0118589421,0.0295239842
B_BLOK_S_n,P_IM_STEN,0.0,0.0064972756,0.027585898
B_BLOK_S_n,FIBR_PREDS,0.0,0.0015950703,0.023222314
LID_KB,FIBR_JELUD,0.0,0.0066440536,0.023201411
inf_im,FIBR_JELUD,0.0,0.006496836,0.0229475531
GEPAR_S_n,P_IM_STEN,0.0,0.0,0.0228680871
NA_R_2_n,A_V_BLOK,0.001692514,0.0054389549,0.0223018106
NA_R_1_n,DRESSLER,0.0,0.0040545549,0.0213850307
B_BLOK_S_n,FIBR_JELUD,0.0,0.0035928796,0.020551104
NA_R_2_n,DRESSLER,0.0,0.0073179728,0.0198243956
NA_R_3_n,DRESSLER,0.0,0.0139171987,0.019466669
NOT_NA_1_n,ZSN,0.0,0.0054020244,0.0182306628
ASP_S_n,JELUD_TAH,0.0,0.0034254126,0.0175858
NOT_NA_2_n,A_V_BLOK,0.0008245231,0.0085310709,0.0168077828
NA_R_2_n,P_IM_STEN,0.0,0.0112492502,0.0166229345
NOT_NA_2_n,REC_IM,0.0001178521,0.0147306593,0.0165426575
R_AB_1_n,RAZRIV,0.0,0.002817479,0.01626131
NA_R_2_n,RAZRIV,0.0,0.0041606339,0.0122003857
ZSN_A,REC_IM,0.0,0.0226450063,0.0108330192
SEX,RAZRIV,0.0,0.0024669806,0.0102896022
NOT_NA_3_n,P_IM_STEN,0.0,0.009162277,0.0070865499
FK_STENOK,A_V_BLOK,0.0,0.0040414196,0.0069711559
R_AB_1_n,A_V_BLOK,0.0001131389,0.0038259751,0.0067481124
R_AB_1_n,DRESSLER,0.0,0.0179864082,0.0067090138
ASP_S_n,PREDS_TAH,0.0,0.0027815366,0.0
B_BLOK_S_n,PREDS_TAH,0.0,0.0030538127,0.0
fibr_ter_03,PREDS_TAH,0.0,0.0027681715,0.0
NA_R_2_n,PREDS_TAH,0.0,0.0037974102,0.0
NA_R_3_n,PREDS_TAH,0.0,0.0044131014,0.0
NOT_NA_2_n,PREDS_TAH,0.0,0.0040404111,0.0
R_AB_1_n,PREDS_TAH,0.0,0.0031151663,0.0
ritm_ecg_p_08,PREDS_TAH,0.0,0.0202186924,0.0
endocr_01,PREDS_TAH,0.0,0.0024117376,0.0
FK_STENOK,PREDS_TAH,0.0,0.0024781785,0.0
n_p_ecg_p_07,PREDS_TAH,0.0,0.0028748623,0.0
LID_KB,PREDS_TAH,0.0,0.0044954071,0.0
MP_TP_POST,PREDS_TAH,0.0,0.0045835198,0.0
n_r_ecg_p_05,PREDS_TAH,0.0,0.0041382643,0.0
nr_11,PREDS_TAH,0.0,0.0089926316,0.0
ritm_ecg_p_02,PREDS_TAH,0.0,0.0033093553,0.0
n_r_ecg_p_03,PREDS_TAH,0.0,0.0040024205,0.0
NITR_S,PREDS_TAH,0.0,0.0003130267,0.0
nr_04,PREDS_TAH,0.0,0.005765288,0.0
zab_leg_03,PREDS_TAH,0.0,0.0018647627,0.0
ZSN_A,PREDS_TAH,0.0,0.0058719546,0.0
n_p_ecg_p_10,PREDS_TAH,0.0,0.0024099512,0.0
zab_leg_01,PREDS_TAH,0.0,0.0098483076,0.0
nr_03,PREDS_TAH,0.0,0.0115072208,0.0
n_r_ecg_p_01,PREDS_TAH,0.0,0.0014059396,0.0
fibr_ter_03,FIBR_PREDS,0.0,0.0100586937,0.0
NOT_NA_2_n,FIBR_PREDS,0.0,0.0071778337,0.0
endocr_01,FIBR_PREDS,0.0,0.0057047699,0.0
n_p_ecg_p_07,FIBR_PREDS,0.0,0.0063841608,0.0
